연도,유동자산,유동부채,유동비율 (%)
2015,8655605000000,4798981000000,180.36
2016,9226934000000,5446851000000,169.4
2017,11205581000000,6644689000000,168.64
2018,12088512000000,7273534000000,166.2
2019,11869724000000,8941529000000,132.75
2020,16319700000000,12624219000000,129.27
2021,20413820000000,15062096000000,135.53
2022,29674369000000,16459563000000,180.29
2023,28859296000000,18390839000000,156.92
