연도,유동자산,유동부채,유동비율 (%)
2015,945244336157.0,26088523641.0,3623.22
2016,847377341135.0,24540689660.0,3452.95
2017,,,
2018,,,
2019,3126610863649.0,3786893004751.0,82.56
2020,4902602526063.0,4745451821342.0,103.31
2021,4772463498357.0,4567004950167.0,104.5
2022,5621713796062.0,6169727343827.0,91.12
2023,5854119649407.0,6727891073451.0,87.01
