연도,유동자산,유동부채,유동비율 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,1783694210430.0,380037427181.0,469.35
2023,1382969483530.0,135619895892.0,1019.74
