연도,유동자산,유동부채,유동비율 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,3653732581737.0,638188239035.0,572.52
2022,3892605855789.0,411184964622.0,946.68
2023,3964417087694.0,520690696023.0,761.38
