연도,유동자산,유동부채,유동비율 (%)
2015,3289127053478,8450381325032,38.92
2016,3327988658034,9131118134895,36.45
2017,3582302550141,6638123273977,53.97
2018,3861945755703,7556788983856,51.11
2019,3574701574491,8777297332478,40.73
2020,4002518982269,7987774772740,50.11
2021,6640996811377,8444926989287,78.64
2022,8090936743191,8475183412857,95.47
2023,8595169639226,9409864309283,91.34
