연도,유동자산,유동부채,유동비율 (%)
2015,3717567607709,2593792273626,143.33
2016,3935838227411,2617947831995,150.34
2017,3871966204696,2539445554201,152.47
2018,4458086692786,2884757513854,154.54
2019,5054300918433,3413465073270,148.07
2020,5950125369972,3547701852658,167.72
2021,6968211360179,3942961992175,176.73
2022,8181858080896,4343758217774,188.36
2023,8771518130998,4467588471380,196.34
