연도,유동자산,유동부채,유동비율 (%)
2015,1833178443548,871900750169,210.25
2016,2116346294510,1171219008871,180.7
2017,1677479147969,1046448068104,160.3
2018,1567235920188,763211930043,205.35
2019,1803063670498,1066567435582,169.05
2020,1825732428259,965946712547,189.01
2021,2018526858100,1157485393842,174.39
2022,1735019347862,831116935949,208.76
2023,1952196456821,813257101661,240.05
