연도,유동자산,유동부채,유동비율 (%)
2015,970066623885,316078102307,306.91
2016,1216958016369,806019918989,150.98
2017,1993096161071,1040863175362,191.48
2018,2858950414592,2039196496491,140.2
2019,2829694454045,2433322136077,116.29
2020,4462924201049,2949489217453,151.31
2021,8102194310997,5657183444239,143.22
2022,7755732886687,5210218944086,148.86
2023,8943259940386,6766752561041,132.16
