연도,유동자산,유동부채,유동비율 (%)
2015,1082774018109,337541365649,320.78
2016,1191628829759,284355732572,419.06
2017,1772726949121,455797606235,388.93
2018,1576408673266,473074463192,333.23
2019,2087864326836,449764539269,464.21
2020,2444363386090,509342417280,479.91
2021,2452606472801,663360709369,369.72
2022,2691079974940,515348529125,522.19
2023,2336838507769,614287467808,380.41
