연도,유동자산,유동부채,유동비율 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,1239411876000.0,500951546000.0,247.41
2022,853496751000.0,452456607000.0,188.64
2023,894364683000.0,717942082000.0,124.57
