연도,유동자산,유동부채,유동비율 (%)
2015,2599157000000,3354154000000,77.49
2016,2619551000000,3574394000000,73.29
2017,3072986000000,3664552000000,83.86
2018,4247244000000,3832967000000,110.81
2019,4805494000000,4648853000000,103.37
2020,4950900000000,4328335000000,114.38
2021,5164421000000,5073659000000,101.79
2022,5043422000000,4817824000000,104.68
2023,4964158000000,5606861000000,88.54
