연도,유동자산,유동부채,유동비율 (%)
2015,4773880158248,3201335106805,149.12
2016,3958265726800,2212795893287,178.88
2017,3605075720088,2670359532470,135.0
2018,5519342209666,4012822498262,137.54
2019,5181414896890,3741522650216,138.48
2020,5657405165394,4983633140961,113.52
2021,7444907068203,6461285795016,115.22
2022,9651702375329,8006938827488,120.54
2023,9187029193265,8518933137070,107.84
