연도,유동자산,유동부채,유동비율 (%)
2015,,,
2016,,,
2017,662574651356.0,660898997378.0,100.25
2018,717166309658.0,594303651410.0,120.67
2019,792022789246.0,718865361025.0,110.18
2020,923286317987.0,645679130159.0,142.99
2021,2784058669420.0,1086649251139.0,256.21
2022,2518693783957.0,1058819027627.0,237.88
2023,2204426649041.0,830211385119.0,265.53
