연도,유동자산,유동부채,유동비율 (%)
2015,1464360332261,3934538468702,37.22
2016,1740881592051,4001387162185,43.51
2017,1895221761151,4214042986121,44.97
2018,2285602945415,4998253469170,45.73
2019,3649933836949,5406253569300,67.51
2020,4062967203059,5988152922316,67.85
2021,5188352945043,9816971044837,52.85
2022,5848734597533,9941710322988,58.83
2023,6387789258339,10373853962124,61.58
