연도,유동자산,유동부채,유동비율 (%)
2015,758534402154,988400541102,76.74
2016,689027934725,1017274895867,67.73
2017,661780012759,731532024426,90.46
2018,1806584959387,2021789390842,89.36
2019,1670976920922,1659291855578,100.7
2020,1750295061988,1551789952275,112.79
2021,2658344877289,2322867570128,114.44
2022,3108038802501,4269198302324,72.8
2023,2782355786459,3400941997109,81.81
