연도,유동자산,유동부채,유동비율 (%)
2015,337757265953,244044784854,138.4
2016,368924210893,274231114801,134.53
2017,353662840900,145225195286,243.53
2018,383378936944,156796450097,244.51
2019,426263421167,219715556191,194.01
2020,459208127449,261704001422,175.47
2021,815161899425,335336853432,243.09
2022,1327724119744,404353962296,328.36
2023,1027982955095,220150412233,466.95
