연도,유동자산,유동부채,유동비율 (%)
2015,1151212000000,3212153000000,35.84
2016,1289991000000,810295000000,159.2
2017,1386678000000,680218000000,203.86
2018,1747647000000,1105603000000,158.07
2019,1427203000000,1683674000000,84.77
2020,2237239000000,2880669000000,77.66
2021,8768021000000,2524663000000,347.29
2022,14280104000000,2051767000000,695.99
2023,13179709000000,2001371000000,658.53
