연도,유동자산,유동부채,유동비율 (%)
2015,,,
2016,,,
2017,1800542555335.0,390118963482.0,461.54
2018,1782126459901.0,406497963196.0,438.41
2019,1855985383088.0,320302588217.0,579.45
2020,1867862840106.0,422394705729.0,442.21
2021,1974197928838.0,305967174886.0,645.23
2022,1901251078379.0,176275503260.0,1078.57
2023,1628205234773.0,398919908913.0,408.15
