연도,유동자산,유동부채,유동비율 (%)
2015,1997989386825,1351647230897,147.82
2016,2780200475557,1968600408357,141.23
2017,2835094873895,2140555352702,132.45
2018,3876999346592,3144141257472,123.31
2019,4563607003936,3329041908478,137.08
2020,5122725881742,3900356540398,131.34
2021,6283537818480,4330103216575,145.11
2022,8589056321089,8270093645238,103.86
2023,9192041562885,12076597878814,76.11
