연도,유동자산,유동부채,유동비율 (%)
2015,,,
2016,,,
2017,,,
2018,3839524960880.0,2444816865907.0,157.05
2019,3235333823589.0,1726495743410.0,187.39
2020,4760551933547.0,2474041087423.0,192.42
2021,4955826205119.0,2846967258416.0,174.07
2022,5442547023552.0,3459125496456.0,157.34
2023,4987269549535.0,3147575788572.0,158.45
