연도,유동자산,유동부채,유동비율 (%)
2015,124814725000000,50502909000000,247.14
2016,141429704000000,54704095000000,258.54
2017,146982464000000,67175114000000,218.8
2018,174697424000000,69081510000000,252.89
2019,181385260000000,63782764000000,284.38
2020,198215579000000,75604351000000,262.17
2021,218163185000000,88117133000000,247.58
2022,218470581000000,78344852000000,278.86
2023,195936557000000,75719452000000,258.77
