연도,유동자산,유동부채,유동비율 (%)
2015,1331132646966,1159458140741,114.81
2016,1424609790941,1146889563421,124.22
2017,1513346103918,1244057335010,121.65
2018,1691202854302,1358883491897,124.46
2019,2163074840988,1771203779670,122.12
2020,1982768917805,1479723875311,134.0
2021,2472884295774,1525844759254,162.07
2022,2284388637755,1162757522705,196.46
2023,2429583603574,1089658847771,222.97
