연도,유동자산,유동부채,유동비율 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,9085706000000.0,6889227000000.0,131.88
2021,9535827000000.0,9474017000000.0,100.65
2022,18804269000000.0,11444923000000.0,164.3
2023,17208396000000.0,10937185000000.0,157.34
