연도,유동자산,유동부채,유동비율 (%)
2015,4155560000000,2712625000000,153.19
2016,4663115000000,3567302000000,130.72
2017,5367809000000,3943608000000,136.11
2018,4613085000000,3039531000000,151.77
2019,3939057000000,2244801000000,175.47
2020,5895921000000,2133263000000,276.38
2021,5547934000000,2819273000000,196.79
2022,5083392000000,2524385000000,201.37
2023,5199470000000,1937107000000,268.41
