연도,유동자산,유동부채,유동비율 (%)
2015,3388781054064,2906881003842,116.58
2016,3293061658481,2446786103859,134.59
2017,3534446756214,2273979163975,155.43
2018,3653188149178,2022633978826,180.62
2019,4113714818383,2131084242262,193.03
2020,4688230159067,1780955802850,263.24
2021,5509241836761,1869177489179,294.74
2022,6436304422676,2887075507092,222.94
2023,6768077726453,2284371173267,296.28
