연도,유동자산,유동부채,유동비율 (%)
2015,9531634000000,6606712000000,144.27
2016,10484186000000,7058219000000,148.54
2017,10473703000000,8978682000000,116.65
2018,8800127000000,9954483000000,88.4
2019,10248315000000,10984976000000,93.29
2020,11099470000000,11006948000000,100.84
2021,13187067000000,13994817000000,94.23
2022,9444035000000,13961520000000,67.64
2023,9503186000000,13885028000000,68.44
