연도,유동자산,유동부채,유동비율 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,6999361510000.0,5976923117000.0,117.11
2021,7886064934000.0,7048607453000.0,111.88
2022,8000865934000.0,9072004186000.0,88.19
2023,8799684121000.0,9945027489000.0,88.48
