연도,영업이익,매출액,영업이익률 (%)
2015,216415186418,240118685928,90.13
2016,28651638438,127315953986,22.5
2017,39071351376,107549384555,36.33
2018,26155011471,101417103261,25.79
2019,37986177391,91091820634,41.7
2020,32502305256,87902948626,36.98
2021,58852290702,94216047615,62.47
2022,67626014492,99769208689,67.78
2023,124468680998,108519767835,114.7
