연도,영업이익,매출액,영업이익률 (%)
2015,88588297005,88821840650,99.74
2016,116135055801,173852569657,66.8
2017,165379527605,179237746469,92.27
2018,72948889927,193669497516,37.67
2019,206786221786,157220905352,131.53
2020,450519574781,247374452328,182.12
2021,587884339202,398116990710,147.67
2022,569355650551,440899208710,129.14
2023,460857845673,622027314668,74.09
