연도,영업이익,매출액,영업이익률 (%)
2015,,,
2016,182721605337.0,364155666448.0,50.18
2017,164827520433.0,419123304635.0,39.33
2018,-42580666199.0,405542813353.0,-10.5
2019,82793144838.0,389951132401.0,21.23
2020,362112054668.0,409773081095.0,88.37
2021,199437459085.0,584079708802.0,34.15
2022,228887112078.0,897014731799.0,25.52
2023,,,
