연도,영업이익,매출액,영업이익률 (%)
2015,124968814875,92048491883,135.76
2016,172427929685,110259609625,156.38
2017,143195167751,85706099352,167.08
2018,112993142556,98855165793,114.3
2019,181292187959,102020672410,177.7
2020,239335181312,102419518776,233.68
2021,399106778303,134935586470,295.78
2022,768746685740,122007611173,630.08
2023,265437456373,109613109613,242.16
