연도,영업이익,매출액,영업이익률 (%)
2015,368804258000,3156256548000,11.68
2016,318139080000,3483691749000,9.13
2017,401313863000,3533602397000,11.36
2018,472623104000,4229168305000,11.18
2019,605317746000,3437125452000,17.61
2020,474478289000,2894352121000,16.39
2021,585385807000,4358489049000,13.43
2022,902507009000,3777380393000,23.89
2023,1163112035000,4467452425000,26.04
