연도,영업이익,매출액,영업이익률 (%)
2015,144461574439.0,302392987905.0,47.77
2016,127768854393.0,323878877725.0,39.45
2017,,,
2018,,,
2019,174854879971.0,934233808184.0,18.72
2020,156248961998.0,992062667073.0,15.75
2021,216401073913.0,1199597678677.0,18.04
2022,489830602915.0,1322920450603.0,37.03
2023,493689284141.0,1555241636165.0,31.74
