연도,영업이익,매출액,영업이익률 (%)
2015,503780001348,294412513931,171.11
2016,546854595914,382010971340,143.15
2017,566919510328,459490444927,123.38
2018,462827002755,584958859860,79.12
2019,150652508829,670215140714,22.48
2020,237151679441,765362719308,30.99
2021,316790902379,1626321833112,19.48
2022,135651681895,1664518427877,8.15
2023,-46935431343,1807613040963,-2.6
