연도,영업이익,매출액,영업이익률 (%)
2015,1625566000000,4097836000000,39.67
2016,1311416000000,4957993000000,26.45
2017,2461618000000,4325120000000,56.91
2018,92891000000,2829163000000,3.28
2019,-1359382000000,3154080000000,-43.1
2020,-29117000000,3517512000000,-0.83
2021,2230608000000,4574789000000,48.76
2022,-2085047000000,2358914000000,-88.39
2023,-2510164000000,3218093000000,-78.0
