연도,영업이익,매출액,영업이익률 (%)
2015,264583147468,2835428312948,9.33
2016,917242620283,2408541772544,38.08
2017,1084409132225,2328337949101,46.57
2018,1214780124677,2528325139425,48.05
2019,1103323347274,2523770217794,43.72
2020,530141457498,2255531445233,23.5
2021,945931226947,1200207123894,78.81
2022,1126028726422,1895477518134,59.41
2023,1436262204451,1665733239617,86.22
