연도,영업이익,매출액,영업이익률 (%)
2015,588251362574,935602949927,62.87
2016,627092295270,1046092371327,59.95
2017,731559148609,1209629541269,60.48
2018,877355813196,1291751923940,67.92
2019,990089397088,1439461740815,68.78
2020,871618076210,1500925778294,58.07
2021,808097771607,1918856084913,42.11
2022,916074023314,1651518939884,55.47
2023,808230946594,1482447864085,54.52
