연도,영업이익,매출액,영업이익률 (%)
2015,1823568000000,3236622000000,56.34
2016,1991920000000,3533699000000,56.37
2017,2928457000000,4448669000000,65.83
2018,2246070000000,4381199000000,51.27
2019,895648000000,3738224000000,23.96
2020,1798159000000,5298365000000,33.94
2021,5025466000000,6386979000000,78.68
2022,2995698000000,7450395000000,40.21
2023,2529196000000,8082952000000,31.29
