연도,영업이익,매출액,영업이익률 (%)
2015,337012931388,1817473968091,18.54
2016,779218090575,1561381114010,49.91
2017,756410990517,1706780802682,44.32
2018,354345747966,1758577996403,20.15
2019,378325667351,1572845944066,24.05
2020,594183118076,1457525668928,40.77
2021,738347655292,1631758622607,45.25
2022,966247380110,2195999363307,44.0
2023,604528962904,2403263897729,25.15
