연도,영업이익,매출액,영업이익률 (%)
2015,1192291000000,7093352000000,16.81
2016,1337763000000,7059889000000,18.95
2017,2468549000000,8178213000000,30.18
2018,2703291000000,6371594000000,42.43
2019,2436139000000,6360288000000,38.3
2020,3194987000000,7154932000000,44.65
2021,3863774000000,8166459000000,47.31
2022,3550972000000,8216512000000,43.22
2023,3549074000000,9265022000000,38.31
