연도,영업이익,매출액,영업이익률 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,115013617843.0,89660819430.0,128.28
2023,-11987764772.0,22342472698.0,-53.65
