연도,영업이익,매출액,영업이익률 (%)
2015,186633717812,795501656692,23.46
2016,228444490415,1061758765515,21.52
2017,235651420434,1307444027746,18.02
2018,242686925620,1524562676319,15.92
2019,307186346174,1377217811504,22.3
2020,325337561292,1420450432670,22.9
2021,343880765667,1371077751375,25.08
2022,411786887242,1422739126795,28.94
2023,480234863157,1433160224550,33.51
