연도,영업이익,매출액,영업이익률 (%)
2015,1708006000000,2344867000000,72.84
2016,1535744000000,2240926000000,68.53
2017,1536626000000,2126007000000,72.28
2018,1201760000000,2008640000000,59.83
2019,1109980000000,2230979000000,49.75
2020,1349324000000,2188893000000,61.64
2021,1387162000000,1913511000000,72.49
2022,1612070000000,1970611000000,81.81
2023,1753204000000,4295000000,40819.65
