연도,영업이익,매출액,영업이익률 (%)
2015,-253533000000,544659000000,-46.55
2016,-833391000000,420634000000,-198.13
2017,-406780000000,371308000000,-109.55
2018,-558656000000,536439000000,-104.14
2019,-299695000000,545258000000,-54.96
2020,980781000000,833786000000,117.63
2021,7377522000000,1973322000000,373.86
2022,9951555000000,1029077000000,967.04
2023,584770000000,934878000000,62.55
