연도,영업이익,매출액,영업이익률 (%)
2015,301331565461,821191280044,36.69
2016,32082609343,781698700854,4.1
2017,2189,912897439592,0.0
2018,1018052799586,1060910372005,95.96
2019,619476933839,1095676584666,56.54
2020,829130678277,995621015867,83.28
2021,1486872833804,1287006556417,115.53
2022,1182835924271,1055693111101,112.04
2023,639423737120,1235009440897,51.77
