연도,영업이익,매출액,영업이익률 (%)
2015,223685061786,1057146168084,21.16
2016,104825998022,1272824325669,8.24
2017,296491317621,1637677144578,18.1
2018,263517409591,913099395252,28.86
2019,403129277832,1109236522215,36.34
2020,681019009060,1114217058203,61.12
2021,1264223240881,1895348989606,66.7
2022,1271751532028,1792871361422,70.93
2023,830824000000,2250891000000,36.91
