연도,영업이익,매출액,영업이익률 (%)
2015,632331000000,1920634000000,32.92
2016,746483000000,2019297000000,36.97
2017,826295000000,2257175000000,36.61
2018,730945000000,3391611000000,21.55
2019,686244000000,2001855000000,34.28
2020,886151000000,2148683000000,41.24
2021,979014000000,2036179000000,48.08
2022,1081260000000,1987992000000,54.39
2023,998031000000,1996697000000,49.98
