연도,영업이익,매출액,영업이익률 (%)
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,32509061000.0,892052823000.0,3.64
2021,-800262777000.0,1032431186000.0,-77.51
2022,-289151153000.0,1135986607000.0,-25.45
2023,178639965000.0,1386425046000.0,12.88
