연도,영업이익,매출액,영업이익률 (%)
2015,684095164351,436136894500,156.85
2016,880936617522,492904237268,178.72
2017,930348985813,522800476778,177.95
2018,1039250135637,556088266669,186.89
2019,1176411246904,611044864691,192.52
2020,1220864731311,585564696288,208.49
2021,1289630423605,554857050527,232.43
2022,711122934369,550861505948,129.09
2023,486981224742,529076344154,92.04
