연도,영업이익,매출액,영업이익률 (%)
2015,751413820000,1623243021000,46.29
2016,843638184000,2028582036000,41.59
2017,776575241000,2335601126000,33.25
2018,832709680000,2613208727000,31.87
2019,896857873000,2817784242000,31.83
2020,1359551440000,2700844052000,50.34
2021,1524429392000,2961608938000,51.47
2022,1664708210000,3238551809000,51.4
2023,1291582413000,2733206062000,47.26
