연도,영업이익,매출액,영업이익률 (%)
2015,12339821043,28058491371,43.98
2016,9434792139,36676676263,25.72
2017,10821056984,48211620629,22.44
2018,10995734321,40850621643,26.92
2019,24407031088,41827727454,58.35
2020,16500753182,40554624677,40.69
2021,19637903345,60700598754,32.35
2022,30651133401,87358603679,35.09
2023,29630959031,80127994413,36.98
