연도,영업이익,매출액,영업이익률 (%)
2015,16351899911,191527293391,8.54
2016,8797144493,166813966718,5.27
2017,10145929569,186715318149,5.43
2018,12462635828,173989869618,7.16
2019,11346695683,152527124249,7.44
2020,17868419670,148529771095,12.03
2021,21037346745,176268223440,11.93
2022,24326774606,179477982150,13.55
2023,18723573550,160486674339,11.67
