연도,영업이익,매출액,영업이익률 (%)
2015,262134021712,201166412673,130.31
2016,251398879006,296129941916,84.89
2017,345695650612,354465691938,97.53
2018,397350381386,428539917694,92.72
2019,467798272893,438778072138,106.61
2020,88483188736,361541787613,24.47
2021,517400647833,471966315308,109.63
2022,645448993543,559331304407,115.4
2023,639780613579,715824445796,89.38
