연도,영업이익,매출액,영업이익률 (%)
2015,258954318718,662225998535,39.1
2016,221243034062,758305090542,29.18
2017,499585550587,828394032126,60.31
2018,323131558365,807711314915,40.01
2019,381532472575,814370251982,46.85
2020,718577359816,1252394564236,57.38
2021,756857107226,1101089342057,68.74
2022,647198174586,1621890148193,39.9
2023,651481422157,939169490610,69.37
