연도,영업이익,매출액,영업이익률 (%)
2015,218057965013,388610173007,56.11
2016,149300909746,373652474325,39.96
2017,175694737669,363068968498,48.39
2018,201129151751,338638598468,59.39
2019,155080809640,372574481700,41.62
2020,190788258583,398637900608,47.86
2021,464743373689,471114667683,98.65
2022,220255942998,388081444299,56.76
2023,-216300854733,1265085659,-17097.72
