연도,영업이익,매출액,영업이익률 (%)
2015,1089328000000,2494795000000,43.66
2016,1158959000000,2555190000000,45.36
2017,986105000000,1966367000000,50.15
2018,839989000000,2176726000000,38.59
2019,859667000000,1984169000000,43.33
2020,548972000000,1501639000000,36.56
2021,753504000000,1634832000000,46.09
2022,574902000000,2015829000000,28.52
2023,785430000000,3378696000000,23.25
