연도,영업이익,매출액,영업이익률 (%)
2015,5336100000000,2628448000000,203.01
2016,3276746000000,3251652000000,100.77
2017,13721326000000,5552795000000,247.11
2018,20843750000000,6319994000000,329.81
2019,2712718000000,4261674000000,63.65
2020,5012624000000,4931322000000,101.65
2021,12410340000000,8267111000000,150.12
2022,6809417000000,5186054000000,131.3
2023,-7730313000000,6600273000000,-117.12
