연도,영업이익,매출액,영업이익률 (%)
2015,762203849000,526632267000,144.73
2016,1102040475792,760913097079,144.83
2017,1179187806331,1026872808889,114.83
2018,942532561543,1101551045302,85.56
2019,710070173513,1211072909858,58.63
2020,1215342457273,986826023076,123.16
2021,1325478171117,1454660666688,91.12
2022,1304664410543,1540471078134,84.69
2023,1488820269608,1724145643626,86.35
