연도,영업이익,매출액,영업이익률 (%)
2015,2354273000000,2388911000000,98.55
2016,2461480000000,2402540000000,102.45
2017,662226000000,2092975000000,31.64
2018,1157475000000,2049248000000,56.48
2019,2009680000000,2154695000000,93.27
2020,2066457000000,1819008000000,113.6
2021,5065685000000,1787698000000,283.36
2022,7233120000000,2237444000000,323.28
2023,11607873000000,2475015000000,469.0
