연도,당기순이익,자본총계,ROE (%)
2015,-1446153505763,8393525637729,-17.23
2016,-147205636,7900858124863,-0.0
2017,245758605487,7515155842826,3.27
2018,9452491081,7048437845321,0.13
2019,14331049026,6603648311679,0.22
2020,-644156697124,7709528729880,-8.36
2021,610361584097,8497052936499,7.18
2022,-285903924711,10297815766057,-2.78
2023,-21773,11206738545707,-0.0
