연도,당기순이익,자본총계,ROE (%)
2015,2775729491227,18313935618336,15.16
2016,89779731649,21105710686971,0.43
2017,825011444090,25151250126386,3.28
2018,2382737545658,22548935047746,10.57
2019,1526561917249,26692096307354,5.72
2020,1465155259723,32945482242712,4.45
2021,2480491197710,33152239482954,7.48
2022,3334546525257,31964121380517,10.43
2023,13606,39897109481722,0.0
