연도,당기순이익,자본총계,ROE (%)
2015,644776515524,2115342598943,30.48
2016,752735650428,2620839706200,28.72
2017,861404290438,3082616473800,27.94
2018,956005119033,3594020128000,26.6
2019,1092081190103,4237087665136,25.77
2020,1121074272313,4849195698865,23.12
2021,1187364858585,5497832811356,21.6
2022,417769360752,5468835988249,7.64
2023,163524219980,5548926465800,2.95
