연도,당기순이익,자본총계,ROE (%)
2015,1549643000000,13103522000000,11.83
2016,1659828000000,14050967000000,11.81
2017,2563895000000,16338577000000,15.69
2018,1940047000000,17322128000000,11.2
2019,560560000000,17383789000000,3.22
2020,943692000000,18790440000000,5.02
2021,4890652000000,23209988000000,21.07
2022,2812551000000,37481127000000,7.5
2023,2053425000000,40938185000000,5.02
