연도,당기순이익,자본총계,ROE (%)
2015,734890361000,9863456028000,7.45
2016,795266748000,11254449703000,7.07
2017,1575181329000,11992168809000,13.14
2018,1319664685000,12521810245000,10.54
2019,597074918000,14615084935000,4.09
2020,513697772000,15396226075000,3.34
2021,1300849491000,16463530116000,7.9
2022,1056239012000,17733633488000,5.96
2023,5856,17892818574000,0.0
